time,A,B,C,u
0.0,0.9304294626684065,0.048827584849772884,0.04971771347319647,0.0
0.01,0.8729050284405345,0.06246001296584538,0.055661390087783404,0.0
0.02,0.8633390833103742,0.07532835998335942,0.06118322309072433,0.0
0.03,0.8518411109257104,0.08809037302357939,0.06822111498250963,0.0
0.04,0.8145865108439885,0.09949989528558269,0.07142473256048434,0.0
0.05,0.8108642624377799,0.11278096049206043,0.07493087545066524,0.0
0.06,0.7944815535930452,0.12452257198447422,0.08456659662496491,0.0
0.07,0.7513006480804206,0.1301473734111844,0.08982444685395288,0.0
0.08,0.778742033091764,0.1464898479187221,0.09276259496693275,0.0
0.09,0.757215202942039,0.15322543522501042,0.10131805756142331,0.0
0.1,0.7244979871571426,0.1615897402837777,0.1068701955862762,0.0
0.11,0.7170658085638164,0.17322626628247054,0.10745222044167468,0.0
0.12,0.7129274752577548,0.17834560137666383,0.11331373584063592,0.0
0.13,0.6888246195053883,0.19209938887456984,0.11778318115652435,0.0
0.14,0.6761724595815802,0.18961520403748014,0.13008354814072043,0.0
0.15,0.647482846570995,0.20659987642649721,0.12660266229155687,0.0
0.16,0.6618757917043949,0.2066998932997168,0.1338630637092105,0.0
0.17,0.6443029506908898,0.21857543627764192,0.14279860581406165,0.0
0.18,0.6346060504197405,0.21982159165326481,0.1502729537027381,0.0
0.19,0.6009725714978126,0.2355820589162261,0.15542134643468425,0.0
0.2,0.6290760103936355,0.2356390913041041,0.15827359550524023,0.0
0.21,0.6001985079709037,0.24306000367012026,0.16419237875703757,0.0
0.22,0.5834768739212747,0.2395891603043816,0.17071016688360516,0.0
0.23,0.6014536666190475,0.24251276540497255,0.1735232921463388,0.0
0.24,0.5677308155075728,0.2560801218049818,0.17602828010412935,0.0
0.25,0.5425566777855796,0.2674398607768196,0.18247757000303247,0.0
0.26,0.5451016650005662,0.26487660166156707,0.18853551985223538,0.0
0.27,0.5158587606050418,0.26037547165223485,0.19345038356566793,0.0
0.28,0.5430578524964342,0.28167739065599523,0.196482765198315,0.0
0.29,0.5190718349269489,0.2734232677038389,0.196845992560559,0.0
0.3,0.5075534849325763,0.28424871198395707,0.20508252771621555,0.0
0.31,0.5180862174770644,0.27887811389278677,0.21186841608856996,0.0
0.32,0.4829395001603455,0.28281857674121985,0.20892541681274482,0.0
0.33,0.49713935135688697,0.29183609724839166,0.21469969125314317,0.0
0.34,0.46451746518820347,0.27770586047049167,0.22408730426367202,0.0
0.35000000000000003,0.471054921677756,0.2902213359029589,0.22936296106763396,0.0
0.36,0.45909926730906786,0.29640188328015393,0.22948496045691477,0.0
0.37,0.47723159596572784,0.2991058226046854,0.2335182913421443,0.0
0.38,0.4732520257377573,0.29416269520873134,0.23901153996024946,0.0
0.39,0.4477492570659678,0.3132675773200385,0.24046978151233972,0.0
0.4,0.4519824684809553,0.3074127099955908,0.24412950647395745,0.0
0.41000000000000003,0.4368906834788338,0.30988002087518335,0.2413687699969591,0.0
0.42,0.43751119606799366,0.30111424769412864,0.25292597660986194,0.0
0.43,0.4204579171892006,0.3143793667941619,0.2662561590321617,0.0
0.44,0.4069360828092165,0.32091184413173446,0.2578957850956217,0.0
0.45,0.40093125825876663,0.3240274004268557,0.261995036578531,0.0
0.46,0.41382460265474613,0.32412841393688246,0.2711732511807265,0.0
0.47000000000000003,0.4238003677515553,0.3213871985772625,0.2762064643827362,0.0
0.48,0.40275933511740547,0.32189962104036285,0.28783750218055465,0.0
0.49,0.3916160524777226,0.3260049619819421,0.2763502014185058,0.0
0.5,0.40602308563553263,0.33057531479336955,0.2850037107566227,0.0
0.51,0.3883313673004818,0.3260441866413938,0.27952465740647564,0.0
0.52,0.382825605893249,0.32734480315585457,0.2838168230640139,0.0
